_id,CodDoc,NumProcCnj,NumAntigo,Classe,DescrTipDoc,CodOrgJulg,NomeOrgJulg,CodMagRel,DtHrMov,DtHrPubl
67c774765cae69eff897ec68,5446002,0075389-49.2024.8.19.0000,2024.002.109711,AGRAVO DE INSTRUMENTO,Decisão monocrática,12264,TERCEIRA CAMARA DE DIREITO PRIVADO (ANTIGA 18ª CÂMARA CÍVEL),33439,/Date(1738876440000)/,/Date(-62135589600000)/
67c774765cae69eff897ec69,5458102,0219902-78.2022.8.19.0001,2024001103593,APELAÇÃO,Acórdão,12266,OITAVA CAMARA DE DIREITO PRIVADO (ANTIGA 17ª CÂMARA CÍVEL),15384,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec6a,5457916,0003967-54.2019.8.19.0011,202400172046,APELAÇÃO,Acórdão,12272,VIGESIMA CAMARA DE DIREITO PRIVADO (ANTIGA 11ª CÂMARA CÍVEL),15394,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec6b,5458710,0857979-73.2023.8.19.0001,2024001134983,APELAÇÃO,Acórdão,12268,DECIMA SEGUNDA CAMARA DE DIREITO PRIVADO (ANTIGA 14ª CÂMARA CÍVEL),29005,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec6c,5457828,0028754-10.2024.8.19.0000,202400241933,AGRAVO DE INSTRUMENTO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),14571,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec6d,5457811,0139324-42.2017.8.19.0054,2024001109423,APELAÇÃO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),18069,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec6e,5333111,0813662-48.2023.8.19.0014,2024.001.46928,APELAÇÃO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),14571,/Date(1726628460000)/,/Date(-62135589600000)/
67c774765cae69eff897ec6f,5302834,0001686-09.2018.8.19.0061,2024.001.24222,APELAÇÃO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),13932,/Date(1724209260000)/,/Date(-62135589600000)/
67c774765cae69eff897ec70,5302768,0021070-34.2024.8.19.0000,2024.002.30264,AGRAVO DE INSTRUMENTO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),13932,/Date(1724209260000)/,/Date(-62135589600000)/
67c774765cae69eff897ec71,5246980,0001023-43.2020.8.19.0044,2023.001.114865,APELAÇÃO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),13932,/Date(1719370860000)/,/Date(-62135589600000)/
67c774765cae69eff897ec72,5458512,0022581-42.2021.8.19.0204,2024001118438,APELAÇÃO,Decisão monocrática,12272,VIGESIMA CAMARA DE DIREITO PRIVADO (ANTIGA 11ª CÂMARA CÍVEL),15394,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec73,5458420,0811765-37.2022.8.19.0202,2024001114686,APELAÇÃO,Acórdão,12263,SEGUNDA CAMARA DE DIREITO PRIVADO (ANTIGA 3ª CÂMARA CÍVEL),16588,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec74,5457918,0085119-84.2024.8.19.0000,202430000620,REQUERIMENTO DE EFEITO SUSPENSIVO EM APELACAO,Acórdão,12272,VIGESIMA CAMARA DE DIREITO PRIVADO (ANTIGA 11ª CÂMARA CÍVEL),15382,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec75,5458054,0969239-58.2023.8.19.0001,202400181803,APELAÇÃO,Acórdão,12264,TERCEIRA CAMARA DE DIREITO PRIVADO (ANTIGA 18ª CÂMARA CÍVEL),17544,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec76,5458048,0010462-60.2018.8.19.0202,202500101466,APELAÇÃO,Acórdão,12264,TERCEIRA CAMARA DE DIREITO PRIVADO (ANTIGA 18ª CÂMARA CÍVEL),15380,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec77,5458012,0129091-48.2017.8.19.0001,202400199935,APELAÇÃO,Acórdão,12264,TERCEIRA CAMARA DE DIREITO PRIVADO (ANTIGA 18ª CÂMARA CÍVEL),33439,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec78,5457812,0800724-70.2022.8.19.0009,2024001109175,APELAÇÃO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),18069,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec79,5389749,0073342-13.2009.8.19.0038,2024.001.97599,APELAÇÃO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),13932,/Date(1731466860000)/,/Date(-62135589600000)/
67c774765cae69eff897ec7a,5323647,0010805-70.2024.8.19.0000,2024.002.16843,AGRAVO DE INSTRUMENTO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),13932,/Date(1725591660000)/,/Date(-62135589600000)/
67c774765cae69eff897ec7b,5275997,0019081-90.2024.8.19.0000,2024.002.28599,AGRAVO DE INSTRUMENTO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),13932,/Date(1721790060000)/,/Date(-62135589600000)/
67c774765cae69eff897ec7c,5457922,0830608-11.2022.8.19.0021,202400177515,APELAÇÃO,Acórdão,12272,VIGESIMA CAMARA DE DIREITO PRIVADO (ANTIGA 11ª CÂMARA CÍVEL),15394,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec7d,5458023,0017294-51.2014.8.19.0202,2024001124979,APELAÇÃO,Acórdão,12264,TERCEIRA CAMARA DE DIREITO PRIVADO (ANTIGA 18ª CÂMARA CÍVEL),15380,/Date(1739934000000)/,/Date(-62135589600000)/
67c774765cae69eff897ec7e,5457897,0000153-30.2022.8.19.0043,2024001134246,APELAÇÃO,Acórdão,12261,TERCEIRA CAMARA DE DIREITO PUBLICO (ANTIGA 6ª CÂMARA CÍVEL),13932,/Date(1739934000000)/,/Date(-62135589600000)/
